0 : 31635 answer  : 31635
1 : 24733 answer  : 24733
2 : 20038 answer  : 20038
3 : 19690 answer  : 19690
4 : 22748 answer  : 22748
5 : 23826 answer  : 23826
6 : 27274 answer  : 27274
7 : 30274 answer  : 30274
8 : 33963 answer  : 33963
9 : 38014 answer  : 38014
10 : 41832 answer  : 41832
11 : 45775 answer  : 45775
12 : 49232 answer  : 49232
13 : 53913 answer  : 53913
14 : 59201 answer  : 59201
15 : 63427 answer  : 63427
16 : 68836 answer  : 68836
17 : 72762 answer  : 72762
18 : 72895 answer  : 72895
19 : 71306 answer  : 71306
20 : 70855 answer  : 70855
21 : 71234 answer  : 71234
22 : 71710 answer  : 71710
23 : 72582 answer  : 72582
24 : 73092 answer  : 73092
25 : 73551 answer  : 73551
26 : 73430 answer  : 73430
27 : 73872 answer  : 73872
28 : 73604 answer  : 73604
29 : 72828 answer  : 72828
30 : 72449 answer  : 72449
31 : 71156 answer  : 71156
32 : 70678 answer  : 70678
33 : 69583 answer  : 69583
34 : 69213 answer  : 69213
35 : 68890 answer  : 68890
36 : 67501 answer  : 67501
37 : 67908 answer  : 67908
38 : 67255 answer  : 67255
39 : 66337 answer  : 66337
40 : 65687 answer  : 65687
41 : 65365 answer  : 65365
42 : 64932 answer  : 64932
43 : 63971 answer  : 63971
44 : 64005 answer  : 64005
45 : 62939 answer  : 62939
46 : 62503 answer  : 62503
47 : 61890 answer  : 61890
48 : 61269 answer  : 61269
49 : 60633 answer  : 60633
50 : 59935 answer  : 59935
51 : 59067 answer  : 59067
52 : 58256 answer  : 58256
53 : 57362 answer  : 57362
54 : 56269 answer  : 56269
55 : 55583 answer  : 55583
56 : 54570 answer  : 54570
57 : 53723 answer  : 53723
58 : 52742 answer  : 52742
59 : 52265 answer  : 52265
60 : 51694 answer  : 51694
61 : 50559 answer  : 50559
62 : 50231 answer  : 50231
63 : 48993 answer  : 48993
64 : 48299 answer  : 48299
65 : 47462 answer  : 47462
66 : 46635 answer  : 46635
67 : 45840 answer  : 45840
68 : 45228 answer  : 45228
69 : 44715 answer  : 44715
70 : 43835 answer  : 43835
71 : 43247 answer  : 43247
72 : 42715 answer  : 42715
73 : 41471 answer  : 41471
74 : 40772 answer  : 40772
75 : 39655 answer  : 39655
76 : 38965 answer  : 38965
77 : 38468 answer  : 38468
78 : 37492 answer  : 37492
79 : 36055 answer  : 36055
80 : 35709 answer  : 35709
81 : 34787 answer  : 34787
82 : 33957 answer  : 33957
83 : 32790 answer  : 32790
84 : 32111 answer  : 32111
85 : 31388 answer  : 31388
86 : 30379 answer  : 30379
87 : 29469 answer  : 29469
88 : 28787 answer  : 28787
89 : 28101 answer  : 28101
90 : 27351 answer  : 27351
91 : 26771 answer  : 26771
92 : 26167 answer  : 26167
93 : 25493 answer  : 25493
94 : 24974 answer  : 24974
95 : 24310 answer  : 24310
96 : 23698 answer  : 23698
97 : 23085 answer  : 23085
